0, 820.29510, 50.61000
1, 721.77826, 45.30145
2, 631.98737, 40.33815
3, 548.87231, 35.72012
4, 474.86902, 31.44934
5, 412.10394, 27.52581
6, 360.37723, 23.94377
7, 317.66663, 20.69791
8, 283.70401, 17.77324
9, 259.32510, 15.15708
10, 240.35475, 12.82669
11, 224.07388, 10.75938
12, 210.21324, 8.93160
13, 195.48332, 7.32086
14, 179.38710, 5.90892
15, 162.26662, 4.68012
16, 144.50194, 3.61726
17, 124.06183, 2.71402
18, 104.80869, 1.96144
19, 85.20027, 1.35185
20, 67.89670, 0.87735
21, 51.78338, 0.52807
22, 39.55970, 0.29249
23, 30.97382, 0.15490
24, 25.17584, 0.09707
25, 23.01843, 0.09923
26, 23.64661, 0.14266
27, 25.69190, 0.21170
28, 28.23758, 0.29310
29, 31.28556, 0.37825
30, 33.45689, 0.46085
31, 35.12348, 0.53686
32, 36.53887, 0.60366
33, 37.75423, 0.65864
34, 38.30643, 0.69963
35, 39.00186, 0.72508
36, 38.78720, 0.73212
37, 38.78071, 0.71927
38, 37.86608, 0.68674
39, 36.93634, 0.63633
40, 35.03161, 0.57206
41, 33.27498, 0.49754
42, 31.18426, 0.41802
43, 28.61716, 0.33837
44, 26.48851, 0.26326
45, 24.28209, 0.19624
46, 22.46185, 0.13951
47, 21.28024, 0.09379
48, 20.36785, 0.05961
49, 19.54991, 0.03635
50, 19.15767, 0.02256
51, 18.81272, 0.01700
52, 18.87666, 0.01800
53, 18.81521, 0.02411
54, 18.56321, 0.03372
55, 18.33052, 0.04525
56, 18.79711, 0.05666
57, 19.08860, 0.06630
58, 19.36747, 0.07252
59, 19.61317, 0.07445
60, 19.88486, 0.07164
61, 19.54160, 0.06484
62, 19.67370, 0.05488
63, 19.10382, 0.04348
64, 18.78975, 0.03207
65, 18.37992, 0.02200
66, 18.53033, 0.01394
67, 18.20435, 0.00822
68, 17.85009, 0.00478
69, 17.87155, 0.00323
70, 17.64232, 0.00310
71, 17.71264, 0.00388
72, 17.77454, 0.00514
73, 17.87522, 0.00659
74, 17.95978, 0.00799
75, 17.70168, 0.00925
76, 17.68856, 0.01016
77, 17.65397, 0.01057
78, 17.76336, 0.01038
79, 17.82422, 0.00961
80, 17.84956, 0.00837
81, 17.82612, 0.00684
82, 17.82796, 0.00525
83, 17.97029, 0.00374
84, 17.73642, 0.00245
85, 17.45170, 0.00146
86, 17.54678, 0.00077
87, 17.56524, 0.00036
88, 17.60299, 0.00019
89, 17.51786, 0.00018
90, 17.56457, 0.00029
91, 17.81534, 0.00045
92, 17.62916, 0.00063
93, 17.80852, 0.00078
94, 17.83715, 0.00090
95, 17.68401, 0.00095
96, 17.71449, 0.00094
97, 17.71217, 0.00086
98, 17.69847, 0.00074
99, 17.51897, 0.00059
100, 17.55435, 0.00044
101, 17.74418, 0.00030
102, 17.67276, 0.00018
103, 17.49745, 0.00010
104, 17.63539, 0.00006
105, 17.60436, 0.00005
106, 17.65345, 0.00009
107, 17.79453, 0.00016
108, 17.76808, 0.00024
109, 17.43953, 0.00033
110, 17.72942, 0.00041
111, 17.87516, 0.00046
112, 17.72438, 0.00048
113, 17.70576, 0.00046
114, 17.70645, 0.00041
115, 17.53145, 0.00036
116, 17.59660, 0.00031
117, 17.59752, 0.00026
118, 17.50389, 0.00021
119, 17.64323, 0.00018
120, 17.82406, 0.00016
121, 17.58329, 0.00014
122, 17.66534, 0.00013
123, 17.56436, 0.00012
124, 17.45351, 0.00012
125, 17.58019, 0.00012
